id,Date,Open,High,Low,Close,Volume,feature_ret_1d,feature_ret_5d,feature_sma_20_ratio,feature_vol_ratio_20d,feature_high_low_spread,target
0,2014-01-30,145.25808985973364,146.0541101359483,144.79509050686053,145.58299255371094,118938100,0.010600957859174587,-0.0194760009236995,-0.016530125468719237,1.0183174206208718,0.008648123019062554,0.021090403479661957
1,2014-01-31,143.77973401913408,145.63170638354538,143.70663278233295,144.73008728027344,194677900,-0.0058585502226355946,-0.003968780272660677,-0.02101868592092815,1.6149047662103995,0.013301129277179795,0.03277585492340518
2,2014-02-03,144.55952529087867,144.8844279564876,141.1967318854332,141.472900390625,254837100,-0.022505250641774444,-0.021572007719726005,-0.040752976956011544,1.9720719275841128,0.026066448492058886,0.05781708120999607
3,2014-02-04,142.10648204542971,142.829401076534,141.42417894974005,142.46388244628906,165012400,0.007004748279902495,-0.020550524007100446,-0.03217606602783907,1.2494102185822782,0.00986370792838482,0.043503072292621514
4,2014-02-05,141.9683718424326,142.6019406575674,141.09925047571838,142.28515625,164230500,-0.0012545368918781552,-0.012291802269817964,-0.03116891515106035,1.20778546006646,0.010561116995287645,0.05097889498970498
5,2014-02-06,142.6181928771321,144.1614990234375,142.32577554060418,144.1614990234375,132877600,0.013187199725463339,-0.00976414555944094,-0.01675041864715765,0.9643394433096164,0.012733798519498385,0.03611689025386733
6,2014-02-07,144.83566663436045,146.10280414454215,144.36454918160882,145.94847106933594,170787200,0.01239562614153944,0.008418317241134954,-0.003469304278374552,1.204452817789832,0.011910059421640192,0.029107738843324515
7,2014-02-10,145.96473606996042,146.2652840264978,145.56673219432315,146.21653747558594,92218800,0.0018367195235819977,0.03353035861895215,-0.0004942378630449218,0.6526171459305108,0.00477751589686825,0.026832290332521547
8,2014-02-11,146.33843358657785,148.19040651708121,146.24095284680453,147.81675720214844,117814100,0.010944177411051692,0.037573556637258365,0.01036319295607191,0.8433229734414404,0.013188313065281803,0.015771030147763376
9,2014-02-12,148.0360492962704,148.50716688010547,147.59742941848927,147.8898468017578,94717700,0.0004944608513459681,0.039390549931365815,0.01131195841238175,0.6805052845694051,0.006151453134140306,0.020596342859949157
10,2014-02-13,146.89077375454727,148.80772975286536,146.88265552366826,148.6533966064453,100542200,0.005162962983598307,0.031158787980399172,0.016999350788110323,0.721828916792838,0.012950085723864491,0.017922021106431485
11,2014-02-14,148.51525579253143,149.74990809974926,148.37717155466854,149.47373962402344,96498400,0.005518494943979935,0.024154199964265155,0.022725317538424328,0.6868285872335168,0.009183797425110388,0.00521687059018805
12,2014-02-18,149.6037040085563,149.85551781904024,149.17320241415996,149.65245056152344,80460900,0.0011956008991915734,0.0234987994193967,0.023777376313155463,0.5783181422898281,0.004559333324112718,0.01812865359934812
13,2014-02-19,149.2625702448168,150.2291724885674,148.53965121789932,148.6614990234375,126524300,-0.006621686008934091,0.00571479064537872,0.017326108831165588,0.8971809358934172,0.011364887894758254,0.025843915637175918
14,2014-02-20,148.8645116740785,149.87984770973415,148.32029304627568,149.5386962890625,104998100,0.005900635143512911,0.011149173002491075,0.023385888101396635,0.7331724537655703,0.010429104319886591,0.022162477214676235
15,2014-02-21,149.82303277468804,150.1804331611909,149.2950628182361,149.3681640625,118116400,-0.0011403886137462127,0.004808282033050393,0.021906401721652147,0.8289357647839221,0.005927436736682055,0.023764142416297762
16,2014-02-24,149.68496748661352,151.20390692752142,149.619984463173,150.1967010498047,114063900,0.005546944976561496,0.004836711970943819,0.025858878288944176,0.8279842126535704,0.01054565415403619,0.017575930651648974
17,2014-02-25,150.31856230715982,150.74906406647835,149.64437726661941,150.13986206054688,117085000,-0.0003784303440790282,0.0032569563491582354,0.02353146987084287,0.8700478710244038,0.0073577182281774865,0.012929838572148356
18,2014-02-26,150.359165284908,150.7571816897172,149.72559624492297,150.14797973632812,98677200,5.406742533153874e-05,0.009999096757770998,0.02195135888162758,0.7364863001488501,0.006870458374503555,0.013145702410687354
19,2014-02-27,149.92861873494613,150.97644032801486,149.75803678553217,150.9358367919922,93880800,0.0052472038388236,0.009343003099538727,0.024914056723158495,0.734316152009657,0.008072327741236148,-0.0034440888050837337
20,2014-02-28,150.9114314733624,152.01611765846127,150.31036042765837,151.31756591796875,150842000,0.0025290821191963353,0.013050986250678243,0.025509480435949916,1.1653148825014847,0.011272698053625947,-0.008749541684431206
21,2014-03-03,149.9854745075675,150.63529222374171,149.25443732327275,150.25352478027344,167748500,-0.007031841486745405,0.00037832875204024674,0.01639590041203598,1.309546295334566,0.009190166436949048,0.007298556973864612
22,2014-03-04,151.72374843149225,152.69035069897134,151.69126311909721,152.36544799804688,167545900,0.014055731610036037,0.014823418024738189,0.026898835544391764,1.3541021834310654,0.006557179419621012,0.00042602105349187624
23,2014-03-05,152.49537603518047,152.76342627405623,152.25981110060457,152.5034942626953,88376900,0.0009060207971181011,0.015687953514284203,0.024363596959718015,0.7370864398026628,0.003302318913323782,-0.005805410972809066
24,2014-03-06,152.87722372211095,153.2021265127117,152.5279414476805,152.85284423828125,82516500,0.002290767023240603,0.01270081040416482,0.023079114288343305,0.712487767088473,0.004410680536504859,-0.002285531403271368
25,2014-03-07,153.48636864913018,153.48636864913018,152.2435855715258,152.9177703857422,114513500,0.00042476244249489703,0.010575140156833696,0.020523152560875335,0.996667302456739,0.008127133128277989,-0.0065769812242911785
26,2014-03-10,152.68221474855062,152.89340024021618,151.9592957877914,152.8365478515625,74939200,-0.0005311517031330037,0.017191098012951045,0.017642112134862664,0.6806218646976679,0.006111787171037092,-0.010159544007086074
27,2014-03-11,153.06399734423744,153.28331348044767,151.7318764624212,152.08114624023438,99009100,-0.0049425456276451785,-0.001865920138377719,0.010639160856746432,0.8964680864510578,0.010201376412403814,-0.0005218330074175936
28,2014-03-12,151.3420088755226,152.1786451908426,151.00084489200364,152.1217803955078,104824400,0.0002671873291200111,-0.0025029844006719815,0.009465222708600063,0.9547366617196771,0.0077424830012949725,-0.007975462645744003
29,2014-03-13,152.57663935335296,152.69848716654545,149.99362931769363,150.41600036621094,155014300,-0.011213253124318867,-0.015942417586103486,-0.002690076995605639,1.3741321327776737,0.01798251410931299,0.0011595040325480532
30,2014-03-14,150.14793967080504,150.91959279367396,149.8149063838668,149.9936065673828,153919600,-0.002808170658704756,-0.019122459155551663,-0.005932360392385427,1.3328940567725842,0.007364889978233113,0.00892778938229899
31,2014-03-17,150.749074873866,151.70755921025466,150.68409183459835,151.35015869140625,98359500,0.009044066311013177,-0.009725351567086316,0.0024347503633641576,0.8510757042436324,0.006762248447608815,0.00807863062013836
32,2014-03-18,151.6587060414882,152.63342607726563,151.49624237366055,152.43035888671875,101804600,0.007137093245570769,0.002296225765768156,0.008661309252734117,0.8728254350415947,0.007460349184444239,0.007571717040672832
33,2014-03-19,152.4466543379388,152.6578522301574,150.65154661953594,151.61814880371094,176267300,-0.005328401041234998,-0.0033107132357211855,0.002306264899474497,1.479681848839038,0.013232621730653671,0.016359268056278076
